datetime,year,month,day,hour,min,sec,recno,kindat,kinst,ut1_unix,ut2_unix,pierce_alt,gps_site,sat_id,gnss_type,gdlatr,gdlonr,los_tec,dlos_tec,tec,azm,elm,gdlat,glon,rec_bias,drec_bias,band_filtered
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,aira,18,GPS     ,31.82406044006348,130.59959411621094,42.960869,0.216308,27.036844,-44.19696,35.111462,34.669868,127.187454,-15203.71582,1.301742,4.245853194870349
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,aira,21,GPS     ,31.82406044006348,130.59959411621094,39.746998,0.433221,31.186737,-96.755196,49.262642,31.484016,127.66835,-15204.259766,1.30438,4.024203317878033
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,aira,26,GPS     ,31.82406044006348,130.59959411621094,54.074039,0.552143,28.564688,53.919273,26.648252,34.913521,135.945892,-15195.828125,1.301875,3.76026146930535
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,aira,27,GPS     ,31.82406044006348,130.59959411621094,29.695332,0.402075,29.486946,75.978622,82.849091,31.905342,131.027008,-15191.999023,1.301764,3.1617165879833826
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g101,5,GPS     ,43.20952606201172,140.8583221435547,64.401787,0.521386,28.7094,135.832367,19.566685,37.847492,147.191254,-215068.453125,1.301724,1.9893824873715966
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g101,9,GPS     ,43.20952606201172,140.8583221435547,29.09762,0.277475,24.197525,-147.660278,54.224705,41.391129,139.346024,-215062.046875,1.301801,0.38640286926629486
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g101,15,GPS     ,43.20952606201172,140.8583221435547,25.07806,0.354841,24.304897,2.763649,74.967819,43.997318,140.911682,-215066.125,1.301733,-1.1476283637048628
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g101,18,GPS     ,43.20952606201172,140.8583221435547,31.603365,0.404026,20.492336,-52.963379,36.740978,45.424339,136.519897,-215072.1875,1.302542,-2.097016868464213
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g101,26,GPS     ,43.20952606201172,140.8583221435547,35.049335,0.276201,24.617584,66.05304,41.472256,44.45454,145.04187,-215065.015625,1.301705,-2.2718428579408214
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g101,27,GPS     ,43.20952606201172,140.8583221435547,25.573526,0.241224,24.894018,-161.723221,76.05201,42.497139,140.544968,-215061.09375,1.301694,-1.8792193550748215
